GCC_bitrate,ARS_bitrate,Concerto_bitrate,bitrate
538.7762399,544.5118718,469.4611513,613.9040048
550.0543696,545.2115515,472.2243071,621.4858822
552.648799,550.3035113,474.714036,627.3370173
556.0842399,556.2395748,476.5541345,628.2925486
560.8134331,561.2497568,476.728182,634.2330705
569.2247952,573.6588889,481.3665523,647.1848934
574.7871729,573.9701458,492.3709516,652.3564104
576.2389672,577.3521415,501.934373,655.8974957
588.5206995,586.4817356,504.0156224,659.5200042
588.6104804,586.9339468,506.7193319,660.3434758
589.8584698,587.6477073,506.8709164,667.4824042
590.3863548,587.7758455,507.9196631,680.8550202
590.8967341,591.1530777,510.3795825,683.3092273
591.3537937,592.1765317,592.6549444,688.2031854
596.4636462,593.1776966,597.3578373,702.1584292
598.0378384,595.2582545,605.081601,704.2009659
598.0613689,595.9992707,613.8223268,706.4093476
599.2193834,597.0215194,616.4189373,711.064438
599.2483008,601.6739365,619.9840806,721.3429169
602.4921978,602.1227521,624.8787917,722.2537609
604.1229024,604.4878225,632.2972985,726.9561382
618.8260402,607.3823034,637.7101337,740.6300085
620.1912703,618.8416348,643.7214381,747.5697243
623.4327949,625.9256316,643.737278,748.5563948
648.1094398,644.7147769,643.8555472,750.3021498
652.989711,649.3185778,657.6523201,758.7354297
654.0489699,654.3926239,663.040141,765
659.0941433,656.7590516,668.9797747,766.1602984
669.5902312,658.0958768,675.9040612,769.4103688
670.2470383,671.5773391,677.4465521,770.7442803
678.3387302,674.1044597,678.5345021,771.1047103
679.2915341,680.230663,678.5982351,773.6847717
680.9705932,682.0698922,693.279004,778.8039549
697.7770078,693.0730646,697.8810214,780.6805615
697.914464,698.5691759,698.9313184,786.1919056
699.4540697,698.8152079,708.2582131,793.6025497
700.013466,699.9795385,710.3569461,796.1191125
706.0687962,705.9164044,718.6637605,802.5361304
716.9976912,713.345679,723.3135653,806.0890536
726.9308274,733.3859657,726.0137441,809.2165107
750.3675882,759.9836308,727.1424832,815.0678007
755.7926361,760.960873,727.2528484,819.0804257
763.5311575,766.1258868,727.8983057,825.3357105
775.6066096,782.5212457,731.5747483,842.3523529
787.5492289,785.1661913,731.9671356,845.3005645
797.7037763,796.4291754,732.4382628,955
813.554904,817.4560268,734.3450317,1005.153577
