GCC_rtt,ARS_rtt,Concerto_rtt,rtt
0.001990156,0.001982227,0.001996236,0.001118667
0.002798069,0.002981898,0.003044596,0.001132546
0.0036792,0.003859236,0.003921717,0.001363602
0.005190896,0.007604616,0.007408846,0.001592943
0.010287359,0.010053949,0.010078917,0.001720513
0.01217185,0.01169273,0.013986042,0.00261724
0.012226509,0.011814624,0.014955418,0.003220173
0.012276722,0.012102723,0.016159944,0.004210965
0.012367985,0.012230931,0.016162301,0.004731002
0.012545413,0.012604555,0.016162561,0.004785654
0.012778936,0.012676609,0.016657493,0.006518264
0.013000919,0.012695448,0.017145591,0.007002392
0.013444056,0.013072332,0.018229193,0.00727507
0.013545873,0.013120663,0.018534402,0.007563577
0.013558011,0.013362791,0.019494056,0.007851694
0.013635568,0.013423813,0.020033483,0.008326307
0.013639872,0.013633513,0.020053989,0.008693101
0.013712258,0.013698364,0.020471544,0.008884859
0.013753962,0.013821046,0.021812407,0.010444495
0.013809682,0.013856741,0.02214945,0.010803846
0.01415588,0.014110132,0.02220374,0.010820271
0.014232813,0.014123911,0.022456057,0.010841469
0.014264431,0.014299741,0.022747191,0.011157889
0.014319745,0.014467414,0.023568946,0.011165591
0.014352652,0.014572723,0.023691993,0.011310846
0.014428662,0.014656802,0.023704204,0.01131901
0.014526365,0.014884463,0.024227235,0.011630566
0.014543894,0.015088857,0.02432057,0.011705616
0.014653441,0.015134648,0.025010185,0.01178997
0.014724654,0.015301693,0.025520948,0.011802132
0.014732579,0.015397373,0.026110543,0.012264365
0.014747745,0.015700787,0.026288607,0.012580607
0.01521044,0.015831063,0.026325935,0.012665028
0.01558675,0.016147546,0.0263559,0.012788601
0.015625817,0.016278103,0.026411634,0.012799909
0.01595968,0.016337751,0.026490702,0.012853063
0.016023493,0.016339377,0.026596108,0.012905283
0.016227159,0.01640579,0.026702693,0.01326131
0.016254448,0.016483667,0.02683815,0.013433268
0.01626618,0.016631445,0.027958846,0.01354289
0.016402881,0.016642577,0.028115207,0.013636612
0.016440996,0.016759239,0.028312296,0.013644511
0.016475908,0.016816569,0.028790526,0.01370369
0.016511796,0.016833145,0.028846069,0.013712052
0.016521062,0.016854576,0.029420532,0.013889556
0.016802811,0.017208972,0.029776233,0.013923933
0.017165495,0.017445764,0.029907664,0.01408341
0.017457172,0.017455962,0.029941671,0.01414082
0.017604397,0.017490848,0.02995762,0.014194617
0.017651784,0.017655853,0.030763121,0.014214417
0.017830026,0.017826786,0.031478722,0.014229985
0.017898471,0.017839025,0.031908361,0.014259625
0.018200973,0.018107365,0.032893225,0.014299599
0.018451172,0.018140752,0.033620188,0.014369059
0.018492429,0.018280218,0.034505612,0.014378753
0.018916326,0.019027345,0.03460333,0.014410426
0.018976478,0.019094325,0.034646296,0.014656676
0.019148446,0.019306057,0.034948548,0.014704221
0.01923563,0.019332313,0.035215306,0.014744539
0.019291369,0.019480468,0.035447229,0.014809392
0.01959087,0.019567981,0.036003129,0.014811048
0.019814415,0.01967564,0.0361466,0.015447224
0.0198409,0.020541898,0.036324299,0.01555675
0.020598363,0.021205777,0.03645772,0.015590826
0.02068894,0.02190551,0.037007011,0.015896124
0.0207555,0.022107116,0.037135801,0.016053122
0.021915679,0.022379914,0.03871001,0.016106763
0.022096498,0.022702088,0.038821725,0.016269217
