GCC_QoE,ARS-QoE,concerto_QoE,QoE
0.345881363,1.198854542,0.264199241,0.615263925
0.346457666,1.231364907,0.290780532,0.624794512
0.356865872,1.269869915,0.309015323,0.625973421
0.37316196,1.273244686,0.362258403,0.634754852
0.376014939,1.292856431,0.375075743,0.635763006
0.446328663,1.392265487,0.401835228,0.660843912
0.447801859,1.445192247,0.482634977,0.673456541
0.449836598,1.46863259,0.485667974,0.701440424
0.481499704,1.545663406,0.528967609,0.752654888
0.529748165,1.546426104,0.554191435,0.761069694
0.530835091,1.623807777,0.564561271,0.773667207
0.557329029,1.646235422,0.576114269,0.793873849
0.605802727,1.705663312,0.587502638,0.809547788
0.615886887,1.738473919,0.588654095,0.831645966
0.619509929,1.756743641,0.597104962,0.849475953
0.628681679,1.846791345,0.600273535,0.854062083
0.632640784,1.921594839,0.627147152,0.893527455
0.689246124,1.931981148,0.653305437,0.903070163
0.759917379,2.006999708,0.663406561,0.903184948
0.815618628,2.09850841,0.689307536,0.919593806
0.896754163,2.124347372,0.715359828,0.926869624
0.913588662,2.339921134,0.741784808,0.931037184
0.927737017,2.358868943,0.752346222,0.940809544
0.944665105,2.364781688,0.806912175,1.00804881
0.946063457,2.442022473,0.844027207,1.01309396
0.95215679,2.491807157,0.868727577,1.017524026
0.995320904,2.510748452,0.925595562,1.081301409
1.004691748,2.659362961,0.941524509,1.09861675
1.257152833,2.724559015,0.941616135,1.146011375
1.320771403,2.733762961,0.948860877,1.176138766
1.349421617,2.746011438,1.000158832,1.178962209
1.419073881,2.764189371,1.311905788,1.18436178
1.422973009,2.809087519,1.323469811,1.185273788
1.438127579,2.811100592,1.453415227,1.193897454
1.563541574,2.819566961,1.520347321,1.216235897
1.750841838,2.916462249,1.648335026,1.317256455
1.923144194,2.967275301,1.703215567,1.360111402
2.803001548,3.07379458,2.735991606,1.405308648
3.113724723,3.200867969,2.893623481,1.439482151
3.249977483,3.210475229,2.970262353,1.741082003
3.678887071,3.523102362,3.582293135,1.915939634
3.696875564,3.663133956,3.610778577,2.409091186
3.78058114,3.770849117,3.681522127,2.484238615
