GCC_rebuf,ARS_rebuf,Concerto_rebuf,rebuf
0.067505669,0.068333333,0.065136054,0.016666667
0.067913832,0.068571429,0.066126126,0.02
0.069926393,0.070408163,0.066847826,0.02
0.070147679,0.072192513,0.06705653,0.02
0.070967742,0.072955975,0.068100358,0.023333333
0.071901709,0.073956916,0.069413919,0.023333333
0.072463768,0.074868559,0.069714286,0.026666667
0.07373247,0.075759637,0.070872766,0.03
0.07469459,0.077991453,0.072080679,0.03
0.07521097,0.078191489,0.072275132,0.033333333
0.076923077,0.078395062,0.073312236,0.033333333
0.078989899,0.080421866,0.074156118,0.04
0.082962963,0.081540084,0.074852608,0.043333333
0.083612663,0.083944154,0.075124717,0.05
0.086075949,0.084285714,0.076550388,0.05
0.088679245,0.08566879,0.076898734,0.056666667
0.091419355,0.08655914,0.079172336,0.066666667
0.091666667,0.086919831,0.081311828,0.066666667
0.09202381,0.086956522,0.087878788,0.083333333
0.092780749,0.08911828,0.089032258,0.09
0.093670886,0.092616034,0.089528796,0.093333333
0.101204819,0.094514768,0.089658966,0.096666667
0.104288499,0.097634409,0.090909091,0.096666667
0.107096774,0.098417722,0.099047619,0.096666667
0.109341826,0.102008032,0.099050633,0.096666667
0.11026455,0.102469136,0.101592357,0.096666667
0.122890295,0.107260726,0.102848101,0.1
0.124642464,0.109684685,0.103144654,0.1
0.129393537,0.113544974,0.118871252,0.1
0.131922399,0.128311966,0.125188136,0.103333333
0.135490732,0.129231237,0.128046187,0.103333333
0.164189189,0.135768039,0.130128205,0.106666667
0.16956602,0.140545809,0.17358156,0.106666667
0.176602564,0.16989843,0.176417359,0.116666667
0.19144197,0.204739229,0.187182493,0.156666667
0.20600907,0.206252442,0.202414966,0.17
0.225264169,0.207207207,0.205945946,0.233333333
0.272612613,0.2253122,0.231460134,0.26
